employee_id,full_name,department,job_role,monthly_income,overtime,risk_score,risk_category,recommended_actions
EMP1,Employee #1,Sales,Sales Executive,5993.0,Yes,0.8455243761355256,High Risk,Reduce overtime load where possible to prevent burnout.; Critical work-life balance issues. Explore flexible hours or remote work options.
EMP2,Employee #2,Research & Development,Research Scientist,5130.0,No,0.4722102356436765,Low Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.
EMP4,Employee #4,Research & Development,Laboratory Technician,2090.0,Yes,0.8615705027399416,High Risk,Reduce overtime load where possible to prevent burnout.; Compensation check. Monthly income is below average; review compensation structure.
EMP5,Employee #5,Research & Development,Research Scientist,2909.0,Yes,0.8403371264573536,High Risk,Reduce overtime load where possible to prevent burnout.; Compensation check. Monthly income is below average; review compensation structure.
EMP7,Employee #7,Research & Development,Laboratory Technician,3468.0,No,0.7256595241310712,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Compensation check. Monthly income is below average; review compensation structure.
EMP8,Employee #8,Research & Development,Laboratory Technician,3068.0,No,0.6989955428806991,High Risk,Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP10,Employee #10,Research & Development,Laboratory Technician,2670.0,Yes,0.9223501386849002,High Risk,Reduce overtime load where possible to prevent burnout.; Low job satisfaction detected. Recommend a career development check-in.; Review work schedule for better balance.; New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP11,Employee #11,Research & Development,Laboratory Technician,2693.0,No,0.7132083433838698,High Risk,New hire (under 2 years). Prioritize onboarding feedback and mentorship programs.; Compensation check. Monthly income is below average; review compensation structure.
EMP12,Employee #12,Research & Development,Manufacturing Director,9526.0,No,0.4736378114892144,Low Risk,Continue standard engagement and positive reinforcement.
EMP13,Employee #13,Research & Development,Healthcare Representative,5237.0,No,0.32438975537350134,Low Risk,Review work schedule for better balance.
EMP14,Employee #14,Research & Development,Laboratory Technician,2426.0,No,0.830281514318361,High Risk,Moderate job satisfaction. Seek feedback on potential workplace friction points.; Compensation check. Monthly income is below average; review compensation structure.
EMP15,Employee #15,Research & Development,Laboratory Technician,4193.0,Yes,0.7516200222168847,High Risk,Reduce overtime load where possible to prevent burnout.
EMP16,Employee #16,Research & Development,Research Scientist,2911.0,No,0.7327558477016253,High Risk,Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
EMP18,Employee #18,Research & Development,Laboratory Technician,2661.0,No,0.6057330678808258,High Risk,Compensation check. Monthly income is below average; review compensation structure.
EMP19,Employee #19,Research & Development,Laboratory Technician,2028.0,Yes,0.898628482842977,High Risk,Reduce overtime load where possible to prevent burnout.; Compensation check. Monthly income is below average; review compensation structure.
EMP20,Employee #20,Research & Development,Manufacturing Director,9980.0,No,0.5002685342753295,High Risk,Low job satisfaction detected. Recommend a career development check-in.
EMP21,Employee #21,Research & Development,Research Scientist,3298.0,Yes,0.9021924732135027,High Risk,Reduce overtime load where possible to prevent burnout.; Moderate job satisfaction. Seek feedback on potential workplace friction points.; Review work schedule for better balance.; Compensation check. Monthly income is below average; review compensation structure.
